rotten_tomatoes_link,critic_name,top_critic,publisher_name,review_type,review_score,review_date,review_content
m/x_men_days_of_future_past,Ray Pride,False,Newcity,Fresh,,2014-05-22,"The super-slow-motion scenes shot at 3,000 frames a second are the wittiest, and thrilling both for comic invention and simple physical beauty in their tumbling eyefuls. (It's the Rube Goldberg version of the end of Antonioni's ""Zabriskie Point."")"
m/x_men_days_of_future_past,Chris Vognar,True,Dallas Morning News,Fresh,B+,2014-05-22,The movie earns its keep with inspired one-off moments that showcase a mischievous sense of humor.
m/x_men_days_of_future_past,Jason Buchanan,False,TV Guide,Fresh,3/4,2014-05-22,"This deftly scripted and unusually affecting installment of the long-running series is marked by the notable return of director Bryan Singer, who succeeds in delivering a film that ranks among the very best of the franchise."
m/x_men_days_of_future_past,Soren Andersen,True,Seattle Times,Fresh,3.5/4,2014-05-22,"Once it reaches takeoff velocity, ""Days of Future Past"" becomes one of the best installments in the ""X-Men"" series."
m/x_men_days_of_future_past,Rafer Guzman,True,Newsday,Fresh,3/4,2014-05-22,"For all its sociopolitical smarts and coded subtexts, the ""X-Men"" franchise, based on the Marvel comics, is primarily about entertainment, and this seventh installment is no different."
m/x_men_days_of_future_past,Dominic Corry,False,Flicks.co.nz,Fresh,3/5,2014-05-22,Veers between interesting and insipid for much of its running time.
m/x_men_days_of_future_past,Frederic and Mary Ann Brussat,False,Spirituality & Practice,Fresh,4/5,2014-05-22,A summer blockbuster that surges with creative action sequences and memorable characters.
m/x_men_days_of_future_past,Mark Jenkins,True,NPR,Fresh,,2014-05-22,"With characters like the impish Quicksilver, the movie recaptures something of the spirit of the comic's early days."
m/x_men_days_of_future_past,Cary Darling,True,Fort Worth Star-Telegram/DFW.com,Fresh,4/5,2014-05-22,"There are many superhuman feats on display in the latest installment in the X-Men saga, Days of Future Past. Time travel. Saving the world from big, angry robots. A beautifully restored 1973 Buick Riviera."
m/x_men_days_of_future_past,Laura Clifford,False,Reeling Reviews,Fresh,A-,2014-05-22,"Now *this* is how you make a summer tentpole movie..This mingling of X-Men past and present, young and old, is the best outing of the series to date, its themes front and center...its life and death mission cut with character driven comedy."
